Year,Country_Code,Country_Name,Host_city,Host_country,Gold,Silver,Bronze,Total_Medals,Continent
2016,AUT,Austria,Rio de Janeiro,Brazil,0,0,1,1,Europe
2016,DOM,Dominican Republic,Rio de Janeiro,Brazil,0,0,1,1,North America
2016,EST,Estonia,Rio de Janeiro,Brazil,0,0,1,1,Europe
2016,FIN,Finland,Rio de Janeiro,Brazil,0,0,1,1,Europe
2016,MAR,Morocco,Rio de Janeiro,Brazil,0,0,1,1,Africa
2016,NGA,Nigeria,Rio de Janeiro,Brazil,0,0,1,1,Africa
2016,PRT,Portugal,Rio de Janeiro,Brazil,0,0,1,1,Europe
2016,TTO,Trinidad and Tobago,Rio de Janeiro,Brazil,0,0,1,1,North America
2016,ARE,United Arab Emirates,Rio de Janeiro,Brazil,0,0,1,1,Asia
2012,USA,United States,London,Great Britain,46,28,30,104,North America
2012,CHN,China,London,Great Britain,38,31,22,91,Asia
2012,GBR,Great Britain,London,Great Britain,29,17,19,65,Europe
2012,RUS,Russia,London,Great Britain,20,20,28,68,Europe
2012,KOR,South Korea,London,Great Britain,13,9,8,30,Asia
2012,DEU,Germany,London,Great Britain,11,20,13,44,Europe
2012,FRA,France,London,Great Britain,11,11,13,35,Europe
2012,AUS,Australia,London,Great Britain,8,15,12,35,Oceania
2012,ITA,Italy,London,Great Britain,8,9,11,28,Europe
2012,HUN,Hungary,London,Great Britain,8,4,6,18,Europe
2012,JPN,Japan,London,Great Britain,7,14,17,38,Asia
2012,IRN,Iran,London,Great Britain,7,5,1,13,Asia
2012,NLD,Netherlands,London,Great Britain,6,6,8,20,Europe
2012,NZL,New Zealand,London,Great Britain,6,2,5,13,Oceania
2012,UKR,Ukraine,London,Great Britain,5,4,10,19,Europe
2012,CUB,Cuba,London,Great Britain,5,3,7,15,North America
2012,ESP,Spain,London,Great Britain,4,10,5,19,Europe
2012,JAM,Jamaica,London,Great Britain,4,5,3,12,North America
2012,CZE,Czech Republic,London,Great Britain,4,3,4,11,Europe
2012,ZAF,South Africa,London,Great Britain,4,1,1,6,Africa
2012,PRK,North Korea,London,Great Britain,4,0,3,7,Asia
2012,BRA,Brazil,London,Great Britain,3,5,9,17,South America
2012,POL,Poland,London,Great Britain,3,2,6,11,Europe
2012,ETH,Ethiopia,London,Great Britain,3,2,3,8,Africa
2012,KAZ,Kazakhstan,London,Great Britain,3,1,7,11,Asia
2012,HRV,Croatia,London,Great Britain,3,1,2,6,Europe
2012,CAN,Canada,London,Great Britain,2,6,10,18,North America
2012,BLR,Belarus,London,Great Britain,2,5,3,10,Europe
2012,KEN,Kenya,London,Great Britain,2,4,7,13,Africa
2012,DNK,Denmark,London,Great Britain,2,4,3,9,Europe
2012,ROU,Romania,London,Great Britain,2,4,1,7,Europe
2012,AZE,Azerbaijan,London,Great Britain,2,2,5,9,Asia
2012,CHE,Switzerland,London,Great Britain,2,2,0,4,Europe
2012,NOR,Norway,London,Great Britain,2,1,1,4,Europe
2012,LTU,Lithuania,London,Great Britain,2,0,3,5,Europe
2012,TUN,Tunisia,London,Great Britain,2,0,1,3,Africa
2012,SWE,Sweden,London,Great Britain,1,4,3,8,Europe
2012,COL,Colombia,London,Great Britain,1,3,5,9,South America
2012,MEX,Mexico,London,Great Britain,1,3,4,8,North America
2012,GEO,Georgia,London,Great Britain,1,2,3,6,Asia
2012,IRL,Ireland,London,Great Britain,1,1,4,6,Europe
2012,ARG,Argentina,London,Great Britain,1,1,2,4,South America
2012,SRB,Serbia,London,Great Britain,1,1,2,4,Europe
2012,SVN,Slovenia,London,Great Britain,1,1,2,4,Europe
2012,TTO,Trinidad and Tobago,London,Great Britain,1,1,2,4,North America
2012,TUR,Turkey,London,Great Britain,1,1,1,3,Asia
2012,DOM,Dominican Republic,London,Great Britain,1,1,0,2,North America
2012,TWN,Chinese Taipei,London,Great Britain,1,0,1,2,Asia
2012,LVA,Latvia,London,Great Britain,1,0,1,2,Europe
2012,DZA,Algeria,London,Great Britain,1,0,0,1,Africa
2012,BHS,Bahamas,London,Great Britain,1,0,0,1,North America
2012,BRN,Bahrain,London,Great Britain,1,0,0,1,Asia
2012,GRD,Grenada,London,Great Britain,1,0,0,1,North America
2012,UGA,Uganda,London,Great Britain,1,0,0,1,Africa
2012,VEN,Venezuela,London,Great Britain,1,0,0,1,South America
2012,EGY,Egypt,London,Great Britain,0,3,1,4,Africa
2012,IND,India,London,Great Britain,0,2,4,6,Asia
2012,MNG,Mongolia,London,Great Britain,0,2,3,5,Asia
2012,THA,Thailand,London,Great Britain,0,2,2,4,Asia
2012,BGR,Bulgaria,London,Great Britain,0,2,1,3,Europe
2012,FIN,Finland,London,Great Britain,0,2,1,3,Europe
2012,IDN,Indonesia,London,Great Britain,0,2,1,3,Asia
2012,SVK,Slovakia,London,Great Britain,0,1,3,4,Europe
2012,BEL,Belgium,London,Great Britain,0,1,2,3,Europe
2012,ARM,Armenia,London,Great Britain,0,1,1,2,Asia
2012,EST,Estonia,London,Great Britain,0,1,1,2,Europe
2012,MYS,Malaysia,London,Great Britain,0,1,1,2,Asia
2012,PRI,Puerto Rico,London,Great Britain,0,1,1,2,North America
2012,BWA,Botswana,London,Great Britain,0,1,0,1,Africa
2012,CYP,Cyprus,London,Great Britain,0,1,0,1,Asia
2012,GAB,Gabon,London,Great Britain,0,1,0,1,Africa
2012,GTM,Guatemala,London,Great Britain,0,1,0,1,North America
2012,MNE,Montenegro,London,Great Britain,0,1,0,1,Europe
2012,PRT,Portugal,London,Great Britain,0,1,0,1,Europe
2012,UZB,Uzbekistan,London,Great Britain,0,0,3,3,Asia
2012,GRC,Greece,London,Great Britain,0,0,2,2,Europe
2012,QAT,Qatar,London,Great Britain,0,0,2,2,Asia
2012,SGP,Singapore,London,Great Britain,0,0,2,2,Asia
2012,AFG,Afghanistan,London,Great Britain,0,0,1,1,Asia
2012,CMR,Cameroon,London,Great Britain,0,0,1,1,Africa
2012,HKG,Hong Kong,London,Great Britain,0,0,1,1,Asia
2012,KWT,Kuwait,London,Great Britain,0,0,1,1,Asia
2012,MAR,Morocco,London,Great Britain,0,0,1,1,Africa
2012,SAU,Saudi Arabia,London,Great Britain,0,0,1,1,Asia
2012,TJK,Tajikistan,London,Great Britain,0,0,1,1,Asia
2012,VNM,Vietnam,London,Great Britain,0,0,1,1,Asia
2008,CHN,China,Beijing,China,48,22,30,100,Asia
2008,USA,United States,Beijing,China,36,39,37,112,North America
2008,RUS,Russia,Beijing,China,24,13,23,60,Europe
2008,GBR,Great Britain,Beijing,China,19,13,19,51,Europe
2008,DEU,Germany,Beijing,China,16,11,14,41,Europe
2008,AUS,Australia,Beijing,China,14,15,17,46,Oceania
2008,KOR,South Korea,Beijing,China,13,11,8,32,Asia
2008,JPN,Japan,Beijing,China,9,8,8,25,Asia
2008,ITA,Italy,Beijing,China,8,9,10,27,Europe
2008,FRA,France,Beijing,China,7,16,20,43,Europe
2008,NLD,Netherlands,Beijing,China,7,5,4,16,Europe
2008,UKR,Ukraine,Beijing,China,7,4,11,22,Europe
2008,KEN,Kenya,Beijing,China,6,4,6,16,Africa
2008,ESP,Spain,Beijing,China,5,11,3,19,Europe
2008,JAM,Jamaica,Beijing,China,5,4,2,11,North America
2008,POL,Poland,Beijing,China,4,5,2,11,Europe
2008,ETH,Ethiopia,Beijing,China,4,2,1,7,Africa
2008,ROU,Romania,Beijing,China,4,1,4,9,Europe
2008,CUB,Cuba,Beijing,China,3,10,17,30,North America
2008,CAN,Canada,Beijing,China,3,9,8,20,North America
2008,HUN,Hungary,Beijing,China,3,5,2,10,Europe
2008,NOR,Norway,Beijing,China,3,5,1,9,Europe
2008,BRA,Brazil,Beijing,China,3,4,10,17,South America
2008,BLR,Belarus,Beijing,China,3,4,7,14,Europe
2008,CZE,Czech Republic,Beijing,China,3,3,1,7,Europe
2008,SVK,Slovakia,Beijing,China,3,3,0,6,Europe
2008,NZL,New Zealand,Beijing,China,3,2,4,9,Oceania
2008,GEO,Georgia,Beijing,China,3,2,2,7,Asia
2008,KAZ,Kazakhstan,Beijing,China,2,3,4,9,Asia
2008,DNK,Denmark,Beijing,China,2,2,3,7,Europe
2008,PRK,North Korea,Beijing,China,2,2,2,6,Asia
2008,THA,Thailand,Beijing,China,2,2,2,6,Asia
2008,MNG,Mongolia,Beijing,China,2,2,0,4,Asia
2008,CHE,Switzerland,Beijing,China,2,1,4,7,Europe
2008,ARG,Argentina,Beijing,China,2,0,4,6,South America
2008,MEX,Mexico,Beijing,China,2,0,2,4,North America
2008,BEL,Belgium,Beijing,China,2,0,0,2,Europe
2008,ZWE,Zimbabwe,Beijing,China,1,3,0,4,Africa
2008,SVN,Slovenia,Beijing,China,1,2,2,5,Europe
2008,AZE,Azerbaijan,Beijing,China,1,1,4,6,Asia
2008,IDN,Indonesia,Beijing,China,1,1,4,6,Asia
2008,BGR,Bulgaria,Beijing,China,1,1,3,5,Europe
2008,TUR,Turkey,Beijing,China,1,1,3,5,Asia
2008,TWN,Chinese Taipei,Beijing,China,1,1,2,4,Asia
2008,FIN,Finland,Beijing,China,1,1,2,4,Europe
2008,LVA,Latvia,Beijing,China,1,1,1,3,Europe
2008,DOM,Dominican Republic,Beijing,China,1,1,0,2,North America
2008,EST,Estonia,Beijing,China,1,1,0,2,Europe
2008,PRT,Portugal,Beijing,China,1,1,0,2,Europe
2008,TTO,Trinidad and Tobago,Beijing,China,1,1,0,2,North America
2008,IND,India,Beijing,China,1,0,2,3,Asia
2008,IRN,Iran,Beijing,China,1,0,1,2,Asia
2008,CMR,Cameroon,Beijing,China,1,0,0,1,Africa
2008,PAN,Panama,Beijing,China,1,0,0,1,North America
2008,TUN,Tunisia,Beijing,China,1,0,0,1,Africa
2008,SWE,Sweden,Beijing,China,0,4,1,5,Europe
2008,LTU,Lithuania,Beijing,China,0,3,2,5,Europe
2008,NGA,Nigeria,Beijing,China,0,3,2,5,Africa
2008,HRV,Croatia,Beijing,China,0,2,3,5,Europe
2008,COL,Colombia,Beijing,China,0,2,1,3,South America
2008,GRC,Greece,Beijing,China,0,2,1,3,Europe
2008,ARM,Armenia,Beijing,China,0,1,4,5,Asia
2008,UZB,Uzbekistan,Beijing,China,0,1,3,4,Asia
2008,AUT,Austria,Beijing,China,0,1,2,3,Europe
2008,IRL,Ireland,Beijing,China,0,1,2,3,Europe
2008,KGZ,Kyrgyzstan,Beijing,China,0,1,2,3,Asia
2008,SRB,Serbia,Beijing,China,0,1,2,3,Europe
2008,DZA,Algeria,Beijing,China,0,1,1,2,Africa
2008,BHS,Bahamas,Beijing,China,0,1,1,2,North America
2008,MAR,Morocco,Beijing,China,0,1,1,2,Africa
2008,TJK,Tajikistan,Beijing,China,0,1,1,2,Asia
2008,CHL,Chile,Beijing,China,0,1,0,1,South America
2008,ECU,Ecuador,Beijing,China,0,1,0,1,South America
2008,ISL,Iceland,Beijing,China,0,1,0,1,Europe
2008,MYS,Malaysia,Beijing,China,0,1,0,1,Asia
2008,WSM,Samoa,Beijing,China,0,1,0,1,Oceania
2008,SGP,Singapore,Beijing,China,0,1,0,1,Asia
2008,ZAF,South Africa,Beijing,China,0,1,0,1,Africa
2008,SDN,Sudan,Beijing,China,0,1,0,1,Africa
2008,VNM,Vietnam,Beijing,China,0,1,0,1,Asia
2008,EGY,Egypt,Beijing,China,0,0,2,2,Africa
2008,AFG,Afghanistan,Beijing,China,0,0,1,1,Asia
2008,ISR,Israel,Beijing,China,0,0,1,1,Asia
2008,MUS,Mauritius,Beijing,China,0,0,1,1,Africa
2008,MDA,Moldova,Beijing,China,0,0,1,1,Europe
2008,TGO,Togo,Beijing,China,0,0,1,1,Africa
2008,VEN,Venezuela,Beijing,China,0,0,1,1,South America
2004,USA,United States,Athens,Greece,36,39,26,101,North America
2004,CHN,China,Athens,Greece,32,17,14,63,Asia
2004,RUS,Russia,Athens,Greece,28,26,36,90,Europe
2004,AUS,Australia,Athens,Greece,17,16,17,50,Oceania
2004,JPN,Japan,Athens,Greece,16,9,12,37,Asia
2004,DEU,Germany,Athens,Greece,13,16,20,49,Europe
2004,FRA,France,Athens,Greece,11,9,13,33,Europe
2004,ITA,Italy,Athens,Greece,10,11,11,32,Europe
2004,KOR,South Korea,Athens,Greece,9,12,9,30,Asia
2004,GBR,Great Britain,Athens,Greece,9,9,12,30,Europe
2004,CUB,Cuba,Athens,Greece,9,7,11,27,North America
2004,HUN,Hungary,Athens,Greece,8,6,3,17,Europe
2004,UKR,Ukraine,Athens,Greece,8,5,9,22,Europe
2004,ROU,Romania,Athens,Greece,8,5,6,19,Europe
2004,GRC,Greece,Athens,Greece,6,6,4,16,Europe
2004,BRA,Brazil,Athens,Greece,5,2,3,10,South America
2004,NOR,Norway,Athens,Greece,5,0,1,6,Europe
2004,NLD,Netherlands,Athens,Greece,4,9,9,22,Europe
2004,SWE,Sweden,Athens,Greece,4,2,1,7,Europe
2004,ESP,Spain,Athens,Greece,3,11,6,20,Europe
2004,CAN,Canada,Athens,Greece,3,6,3,12,North America
2004,TUR,Turkey,Athens,Greece,3,3,5,11,Asia
2004,POL,Poland,Athens,Greece,3,2,5,10,Europe
2004,NZL,New Zealand,Athens,Greece,3,2,0,5,Oceania
2004,THA,Thailand,Athens,Greece,3,1,4,8,Asia
2004,BLR,Belarus,Athens,Greece,2,5,6,13,Europe
2004,AUT,Austria,Athens,Greece,2,4,1,7,Europe
2004,ETH,Ethiopia,Athens,Greece,2,3,2,7,Africa
2004,IRN,Iran,Athens,Greece,2,2,2,6,Asia
2004,SVK,Slovakia,Athens,Greece,2,2,2,6,Europe
2004,TWN,Chinese Taipei,Athens,Greece,2,2,1,5,Asia
2004,GEO,Georgia,Athens,Greece,2,2,0,4,Asia
2004,BGR,Bulgaria,Athens,Greece,2,1,9,12,Europe
2004,DNK,Denmark,Athens,Greece,2,1,5,8,Europe
2004,JAM,Jamaica,Athens,Greece,2,1,2,5,North America
2004,UZB,Uzbekistan,Athens,Greece,2,1,2,5,Asia
2004,MAR,Morocco,Athens,Greece,2,1,0,3,Africa
2004,ARG,Argentina,Athens,Greece,2,0,4,6,South America
2004,CHL,Chile,Athens,Greece,2,0,1,3,South America
2004,KAZ,Kazakhstan,Athens,Greece,1,4,3,8,Asia
2004,KEN,Kenya,Athens,Greece,1,4,2,7,Africa
2004,CZE,Czech Republic,Athens,Greece,1,3,5,9,Europe
2004,ZAF,South Africa,Athens,Greece,1,3,2,6,Africa
2004,HRV,Croatia,Athens,Greece,1,2,2,5,Europe
2004,LTU,Lithuania,Athens,Greece,1,2,0,3,Europe
2004,EGY,Egypt,Athens,Greece,1,1,3,5,Africa
2004,CHE,Switzerland,Athens,Greece,1,1,3,5,Europe
2004,IDN,Indonesia,Athens,Greece,1,1,2,4,Asia
2004,ZWE,Zimbabwe,Athens,Greece,1,1,1,3,Africa
2004,AZE,Azerbaijan,Athens,Greece,1,0,4,5,Asia
2004,BEL,Belgium,Athens,Greece,1,0,2,3,Europe
2004,BHS,Bahamas,Athens,Greece,1,0,1,2,North America
2004,ISR,Israel,Athens,Greece,1,0,1,2,Asia
2004,CMR,Cameroon,Athens,Greece,1,0,0,1,Africa
2004,DOM,Dominican Republic,Athens,Greece,1,0,0,1,North America
2004,ARE,United Arab Emirates,Athens,Greece,1,0,0,1,Asia
2004,PRK,North Korea,Athens,Greece,0,4,1,5,Asia
2004,LVA,Latvia,Athens,Greece,0,4,0,4,Europe
2004,MEX,Mexico,Athens,Greece,0,3,1,4,North America
2004,PRT,Portugal,Athens,Greece,0,2,1,3,Europe
2004,FIN,Finland,Athens,Greece,0,2,0,2,Europe
2004,SCG,Serbia and Montenegro,Athens,Greece,0,2,0,2,Europe
2004,SVN,Slovenia,Athens,Greece,0,1,3,4,Europe
2004,EST,Estonia,Athens,Greece,0,1,2,3,Europe
2004,HKG,Hong Kong,Athens,Greece,0,1,0,1,Asia
2004,IND,India,Athens,Greece,0,1,0,1,Asia
2004,PRY,Paraguay,Athens,Greece,0,1,0,1,South America
2004,COL,Colombia,Athens,Greece,0,0,2,2,South America
2004,NGA,Nigeria,Athens,Greece,0,0,2,2,Africa
2004,VEN,Venezuela,Athens,Greece,0,0,2,2,South America
2004,ERI,Eritrea,Athens,Greece,0,0,1,1,Africa
2004,MNG,Mongolia,Athens,Greece,0,0,1,1,Asia
2004,SYR,Syria,Athens,Greece,0,0,1,1,Asia
2004,TTO,Trinidad and Tobago,Athens,Greece,0,0,1,1,North America
2000,USA,United States,Sydney,Australia,37,24,32,93,North America
2000,RUS,Russia,Sydney,Australia,32,28,29,89,Europe
2000,CHN,China,Sydney,Australia,28,16,14,58,Asia
2000,AUS,Australia,Sydney,Australia,16,25,17,58,Oceania
2000,DEU,Germany,Sydney,Australia,13,17,26,56,Europe
2000,FRA,France,Sydney,Australia,13,14,11,38,Europe
2000,ITA,Italy,Sydney,Australia,13,8,13,34,Europe
2000,NLD,Netherlands,Sydney,Australia,12,9,4,25,Europe
2000,CUB,Cuba,Sydney,Australia,11,11,7,29,North America
2000,GBR,Great Britain,Sydney,Australia,11,10,7,28,Europe
2000,ROU,Romania,Sydney,Australia,11,6,9,26,Europe
2000,KOR,South Korea,Sydney,Australia,8,10,10,28,Asia
2000,HUN,Hungary,Sydney,Australia,8,6,3,17,Europe
2000,POL,Poland,Sydney,Australia,6,5,3,14,Europe
2000,JPN,Japan,Sydney,Australia,5,8,5,18,Asia
2000,BGR,Bulgaria,Sydney,Australia,5,6,2,13,Europe
2000,GRC,Greece,Sydney,Australia,4,6,3,13,Europe
2000,SWE,Sweden,Sydney,Australia,4,5,3,12,Europe
2000,NOR,Norway,Sydney,Australia,4,3,3,10,Europe
2000,ETH,Ethiopia,Sydney,Australia,4,1,3,8,Africa
2000,UKR,Ukraine,Sydney,Australia,3,10,10,23,Europe
2000,KAZ,Kazakhstan,Sydney,Australia,3,4,0,7,Asia
2000,BLR,Belarus,Sydney,Australia,3,3,11,17,Europe
2000,CAN,Canada,Sydney,Australia,3,3,8,14,North America
2000,ESP,Spain,Sydney,Australia,3,3,5,11,Europe
2000,TUR,Turkey,Sydney,Australia,3,0,2,5,Asia
2000,IRN,Iran,Sydney,Australia,3,0,1,4,Asia
2000,CZE,Czech Republic,Sydney,Australia,2,3,3,8,Europe
2000,KEN,Kenya,Sydney,Australia,2,3,2,7,Africa
2000,DNK,Denmark,Sydney,Australia,2,3,1,6,Europe
2000,FIN,Finland,Sydney,Australia,2,1,1,4,Europe
2000,AUT,Austria,Sydney,Australia,2,1,0,3,Europe
2000,LTU,Lithuania,Sydney,Australia,2,0,3,5,Europe
2000,AZE,Azerbaijan,Sydney,Australia,2,0,1,3,Asia
2000,BHS,Bahamas,Sydney,Australia,2,0,1,3,North America
2000,SVN,Slovenia,Sydney,Australia,2,0,0,2,Europe
2000,CHE,Switzerland,Sydney,Australia,1,6,2,9,Europe
2000,IDN,Indonesia,Sydney,Australia,1,3,2,6,Asia
2000,SVK,Slovakia,Sydney,Australia,1,3,1,5,Europe
2000,MEX,Mexico,Sydney,Australia,1,2,3,6,North America
2000,NGA,Nigeria,Sydney,Australia,1,2,0,3,Africa
2000,DZA,Algeria,Sydney,Australia,1,1,3,5,Africa
2000,UZB,Uzbekistan,Sydney,Australia,1,1,2,4,Asia
2000,LVA,Latvia,Sydney,Australia,1,1,1,3,Europe
2000,YUG,Yugoslavia,Sydney,Australia,1,1,1,3,Europe
2000,NZL,New Zealand,Sydney,Australia,1,0,3,4,Oceania
2000,EST,Estonia,Sydney,Australia,1,0,2,3,Europe
2000,THA,Thailand,Sydney,Australia,1,0,2,3,Asia
2000,HRV,Croatia,Sydney,Australia,1,0,1,2,Europe
2000,CMR,Cameroon,Sydney,Australia,1,0,0,1,Africa
2000,COL,Colombia,Sydney,Australia,1,0,0,1,South America
2000,MOZ,Mozambique,Sydney,Australia,1,0,0,1,Africa
2000,BRA,Brazil,Sydney,Australia,0,6,6,12,South America
2000,JAM,Jamaica,Sydney,Australia,0,6,3,9,North America
2000,BEL,Belgium,Sydney,Australia,0,2,3,5,Europe
2000,ZAF,South Africa,Sydney,Australia,0,2,3,5,Africa
2000,ARG,Argentina,Sydney,Australia,0,2,2,4,South America
2000,TWN,Chinese Taipei,Sydney,Australia,0,1,4,5,Asia
2000,MAR,Morocco,Sydney,Australia,0,1,4,5,Africa
2000,PRK,North Korea,Sydney,Australia,0,1,3,4,Asia
2000,MDA,Moldova,Sydney,Australia,0,1,1,2,Europe
2000,SAU,Saudi Arabia,Sydney,Australia,0,1,1,2,Asia
2000,TTO,Trinidad and Tobago,Sydney,Australia,0,1,1,2,North America
2000,IRL,Ireland,Sydney,Australia,0,1,0,1,Europe
2000,LKA,Sri Lanka,Sydney,Australia,0,1,0,1,Asia
2000,URY,Uruguay,Sydney,Australia,0,1,0,1,South America
2000,VNM,Vietnam,Sydney,Australia,0,1,0,1,Asia
2000,GEO,Georgia,Sydney,Australia,0,0,6,6,Asia
2000,CRI,Costa Rica,Sydney,Australia,0,0,2,2,North America
2000,PRT,Portugal,Sydney,Australia,0,0,2,2,Europe
2000,ARM,Armenia,Sydney,Australia,0,0,1,1,Asia
2000,BRB,Barbados,Sydney,Australia,0,0,1,1,North America
2000,CHL,Chile,Sydney,Australia,0,0,1,1,South America
2000,ISL,Iceland,Sydney,Australia,0,0,1,1,Europe
2000,IND,India,Sydney,Australia,0,0,1,1,Asia
2000,ISR,Israel,Sydney,Australia,0,0,1,1,Asia
2000,KWT,Kuwait,Sydney,Australia,0,0,1,1,Asia
2000,KGZ,Kyrgyzstan,Sydney,Australia,0,0,1,1,Asia
2000,MKD,Macedonia,Sydney,Australia,0,0,1,1,Europe
2000,QAT,Qatar,Sydney,Australia,0,0,1,1,Asia
1996,USA,United States,Atlanta,United States,44,32,25,101,North America
1996,RUS,Russia,Atlanta,United States,26,21,16,63,Europe
1996,DEU,Germany,Atlanta,United States,20,18,27,65,Europe
1996,CHN,China,Atlanta,United States,16,22,12,50,Asia
